x,y_do_x_1,y_do_x_2,y_do_x_3
-1.2764585,0.08320535,-0.1161694,-0.16411857
-1.2585818,0.08494354,-0.11665945,-0.16178875
-1.240705,0.08670056,-0.117134206,-0.15944128
-1.2228283,0.0884766,-0.11759364,-0.15707603
-1.2049515,0.09027177,-0.11803779,-0.15469283
-1.1870747,0.09208624,-0.11846671,-0.15229155
-1.1691979,0.09392013,-0.1188804,-0.14987202
-1.1513212,0.09577361,-0.119278856,-0.14743413
-1.1334444,0.09764679,-0.11966218,-0.14497772
-1.1155677,0.09953983,-0.12003038,-0.14250265
-1.0976909,0.10145284,-0.12038346,-0.14000878
-1.0798142,0.103385985,-0.120721474,-0.13749601
-1.0619375,0.105339356,-0.12104446,-0.1349642
-1.0440607,0.10731306,-0.121352464,-0.13241324
-1.0261838,0.109307274,-0.121645495,-0.12984297
-1.0083071,0.11132203,-0.12192361,-0.12725337
-0.9904304,0.11335747,-0.12218686,-0.12464427
-0.9725536,0.11541373,-0.12243528,-0.1220156
-0.95467687,0.11749088,-0.1226689,-0.119367264
-0.9368001,0.119588986,-0.12288777,-0.116699144
-0.9189234,0.12170818,-0.12309192,-0.11401119
-0.9010466,0.12384852,-0.12328142,-0.11130333
-0.88316983,0.12601009,-0.1234563,-0.10857548
-0.8652931,0.12819296,-0.1236166,-0.10582758
-0.84741634,0.1303972,-0.12376239,-0.10305957
-0.8295396,0.13262288,-0.12389368,-0.1002714
-0.8116628,0.13487007,-0.124010555,-0.09746302
-0.79378605,0.13713878,-0.124113016,-0.09463441
-0.7759093,0.13942909,-0.12420115,-0.09178554
-0.75803256,0.14174102,-0.12427498,-0.088916354
-0.7401558,0.14407463,-0.124334574,-0.08602688
-0.722279,0.14642991,-0.124379955,-0.08311707
-0.70440227,0.14880691,-0.12441118,-0.08018694
-0.6865255,0.15120564,-0.124428295,-0.07723648
-0.6686488,0.15362613,-0.12443136,-0.074265726
-0.650772,0.15606833,-0.12442041,-0.07127467
-0.63289523,0.15853226,-0.12439548,-0.06826335
-0.6150185,0.16101794,-0.12435665,-0.065231815
-0.59714174,0.16352531,-0.12430393,-0.06218008
-0.579265,0.1660544,-0.12423738,-0.05910822
-0.5613882,0.16860513,-0.124157056,-0.05601626
-0.54351145,0.17117749,-0.12406298,-0.052904297
-0.5256347,0.17377141,-0.1239552,-0.04977239
-0.50775796,0.17638688,-0.123833776,-0.046620615
-0.4898812,0.17902383,-0.12369874,-0.043449067
-0.4720044,0.18168218,-0.12355015,-0.04025783
-0.45412767,0.18436186,-0.12338802,-0.037047025
-0.43625093,0.18706281,-0.12321243,-0.033816755
-0.41837415,0.18978494,-0.12302336,-0.030567126
-0.4004974,0.19252816,-0.1228209,-0.027298281
-0.38262063,0.19529235,-0.12260509,-0.024010343
-0.3647439,0.19807744,-0.12237595,-0.02070347
-0.3468671,0.20088333,-0.12213353,-0.01737779
-0.32899037,0.20370981,-0.121877834,-0.014033471
-0.3111136,0.20655686,-0.12160895,-0.010670672
-0.29323685,0.20942427,-0.12132688,-0.007289571
-0.2753601,0.21231194,-0.12103164,-0.003890343
-0.25748333,0.21521975,-0.120723315,-0.00047316743
-0.23960659,0.21814749,-0.12040192,0.0029617543
-0.22172983,0.22109503,-0.12006747,0.006414229
-0.20385307,0.22406216,-0.11972,0.009884043
-0.18597631,0.22704875,-0.11935956,0.01337099
-0.16809955,0.23005463,-0.11898616,0.016874848
-0.1502228,0.23307958,-0.11859983,0.020395389
-0.13234603,0.23612338,-0.11820061,0.02393238
-0.11446928,0.23918594,-0.117788516,0.027485581
-0.09659252,0.24226692,-0.11736359,0.031054743
-0.078715764,0.24536619,-0.11692583,0.034639627
-0.06083901,0.24848348,-0.11647531,0.038239967
-0.042962253,0.2516186,-0.11601198,0.0418555
-0.025085494,0.2547713,-0.11553594,0.04548596
-0.0072087366,0.25794137,-0.11504716,0.04913107
0.010668021,0.2611285,-0.1145457,0.052790552
0.028544778,0.2643325,-0.11403155,0.056464124
0.046421535,0.2675531,-0.11350476,0.060151495
0.064298294,0.27078998,-0.11296533,0.06385238
0.082175046,0.274043,-0.11241328,0.06756645
0.100051805,0.2773118,-0.11184866,0.071293436
0.117928565,0.2805961,-0.11127146,0.07503303
0.13580532,0.28389564,-0.110681705,0.078784905
0.15368208,0.2872101,-0.11007941,0.08254875
0.17155884,0.29053923,-0.1094646,0.08632425
0.1894356,0.29388273,-0.10883729,0.0901111
0.20731235,0.2972403,-0.10819751,0.09390895
0.2251891,0.30061156,-0.107545264,0.09771748
0.24306586,0.30399626,-0.106880575,0.101536356
0.26094264,0.3073941,-0.10620347,0.10536526
0.27881938,0.31080472,-0.10551395,0.109203845
0.29669613,0.31422785,-0.10481205,0.11305178
0.3145729,0.31766313,-0.104097776,0.11690873
0.33244964,0.32111022,-0.10337114,0.12077434
0.35032642,0.32456878,-0.10263219,0.12464828
0.36820316,0.3280385,-0.10188092,0.1285302
0.38607994,0.33151904,-0.101117365,0.13241976
0.40395668,0.33501005,-0.10034154,0.1363166
0.42183343,0.33851117,-0.099553466,0.1402204
0.4397102,0.3420221,-0.09875316,0.14413083
0.45758694,0.34554243,-0.09794065,0.14804748
0.47546372,0.34907186,-0.097115956,0.15197004
0.49334046,0.35261002,-0.09627911,0.15589817
0.51121724,0.35615653,-0.095430136,0.1598315
0.529094,0.35971108,-0.094569035,0.1637697
0.5469707,0.36327323,-0.09369587,0.16771242
0.56484747,0.36684275,-0.09281065,0.17165932
0.5827236,0.37041903,-0.09191345,0.17560993
0.60060036,0.37400198,-0.09100421,0.17956418
0.6184771,0.3775912,-0.09008302,0.18352158
0.63635385,0.38118625,-0.089149915,0.1874818
0.6542306,0.3847868,-0.088204905,0.1914445
0.6721074,0.38839248,-0.08724805,0.19540936
0.68998414,0.39200294,-0.08627938,0.19937603
0.7078609,0.3956178,-0.085298926,0.2033442
0.72573763,0.39923668,-0.084306754,0.20731348
0.74361444,0.4028593,-0.08330286,0.21128367
0.7614912,0.4064852,-0.08228735,0.21525432
0.7793679,0.41011405,-0.081260234,0.21922517
0.79724467,0.4137456,-0.08022156,0.22319594
0.8151214,0.4173793,-0.079171404,0.22716628
0.8329982,0.42101493,-0.07810979,0.23113589
0.85087496,0.42465216,-0.07703679,0.23510444
0.8687517,0.42829052,-0.07595246,0.23907168
0.88662845,0.4319298,-0.07485686,0.24303728
0.9045052,0.43556958,-0.07375004,0.24700095
0.922382,0.43920952,-0.07263209,0.25096247
0.94025874,0.44284922,-0.07150305,0.2549214
0.9581355,0.44648847,-0.070363015,0.25887764
0.97601223,0.45012686,-0.06921202,0.26283082
0.99388903,0.45376402,-0.06805017,0.26678067
1.0117657,0.45739967,-0.06687753,0.27072695
1.0296426,0.4610335,-0.06569417,0.27466947
